Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
Aruba;CO2;25,37682009;28,99078323;39,63513869;44,45246955;43,63217866;57,55930401;56,58594051;67,26279304;72,10001328;76,08206891;79,93525721;83,05617239;81,98701172;84,59187496;98,75489011;104,3018531;113,9047034;128,8578927;143,0103518;197,5808571;201,015615;226,411282;250,7537485;251,5813987;285,8332322;314,4397996;206,8357729;343,0425407;351,2379817;355,8590801;268,9448425;271,8567456;296,9786463;342,3646225;349,3505991;385,3240977;424,1941681;458,0633686;454,5471298;493,3190989;482,7982086;290,7325258;375,3618622;412,7583935;441,1187867;462,5255099;485,3936609;467,1050703;465,2946721;509,5466696;488,7348972;507,3505177;535,465064;537,1238422;555,9609879
Afghanistan;CO2;1732,840605;1732,630241;1692,433048;1732,518718;2188,615978;2027,561925;1891,257506;2281,112818;1932,656443;2057,743421;2004,744111;2258,061843;2307,79431;2998,138828;3220,467029;4113,775717;3931,168437;3261,010476;3073,40919;2882,460608;2908,38166;2833,21345;1810,669481;1772,863137;1673,674542;1452,609575;1405,615787;1373,472835;1409,326376;1363,305864;1009,270399;940,1679349;938,833413;1017,233186;902,3750845;1276,284483;1418,492389;2064,245499;3902,929374;6165,918397;7868,358402;11523,07511;9884,427202;8428,70103;7958,785476;8427,155535;7611,693197;10397,24788;11809,92756;12104,63773;12143,56755;12486,39132;11297,96387;11648,63918;12068,41517
Angola;CO2;8933,939697;8519,554424;10366,14671;11347,03907;11806,60526;10904,4985;7292,02771;12033,52117;14216,31883;14179,45507;14316,18211;13232,32476;12771,56445;13221,35095;13356,61157;14103,80381;14246,24961;14501,70649;14940,87046;15103,56686;11230,77715;11780,54899;12119,00685;12141,81527;11490,45057;12953,66526;15678,80285;16402,15533;17036,49027;18031,49352;16511,9522;16192,34709;15915,48445;17329,67626;17690,3049;15638,89514;16320,29068;17055,8621;19119,47447;21088,90007;22739,93487;23650,08201;24716,22144;28534,26371;30887,30766;33086,54292;31274,84672;27995,05267;25814,21748;26996,25975;20538,0388;25564,11102;26683,91366;27336,00525;28100,36383
Anguilla;CO2;2,202952704;2,203055343;2,298556243;2,1438465;2,385202201;2,619019557;2,469511321;2,572138184;2,936718856;3,248121692;4,447730427;6,674792519;7,053782285;6,123749151;5,836013072;3,705862482;3,189992304;6,161686544;5,833573599;6,185426378;6,151888614;7,617386011;7,941339029;9,991013197;13,17048038;16,43526023;16,25331103;13,60407445;12,48944203;11,7918662;15,57211931;15,95199809;10,90153502;14,15099375;13,51839435;13,71324962;12,8715762;12,427215;15,35171541;20,25315068;24,09698508;26,10080802;26,11623912;28,03377032;27,98955127;28,09913736;28,43508113;29,15912271;28,31979612;27,67692334;22,87615646;22,09032753;21,93384066;21,91794412;22,76863384
Int. Aviation;CO2;169900,3934;169900,3934;179759,538;187494,4112;180478,1315;174582,469;174907,9839;190798,5059;197866,2765;204567,5451;203458,2666;202666,5067;210056,3992;211936,8827;219877,7425;225908,142;248130,1389;262332,5108;277172,8321;291117,4218;260688,5975;253685,5005;262147,2989;267299,3777;281053,2084;291763,5063;303689,2439;318328,5868;328970,4956;342955,6966;355305,7351;349173,7606;369486,144;367395,9037;403067,8297;429004,5934;444266,8472;459214,6447;466325,3417;443720,8183;469087,6528;481837,7905;483972,5115;492344,0836;507104,1903;536452,2915;560444,8709;589881,6132;615737,0034;624897,2439;295699,0522;326402,533;471471,3696;570728,5001;614153,4946
Albania;CO2;4845,075099;4838,217722;5518,382489;4952,036013;5329,711865;5424,215042;5796,672008;6201,034353;6821,099045;7936,809536;8056,58228;7072,714567;7273,134639;7792,345383;8431,273018;8074,059472;8151,481709;8292,833072;8199,721953;7906,052252;6645,101475;4379,607131;2363,17131;2222,834038;2344,307687;2070,238897;2055,221381;1580,560233;1914,89927;3086,914908;3232,869194;3439,639053;4006,722302;4211,594406;4414,430778;4148,87696;4135,094017;4245,997952;4195,049124;4283,609379;4566,969808;5000,652783;4538,452574;4770,31762;5102,19113;4875,618295;4538,21223;5361,346783;5334,114297;4983,989749;4567,647897;5112,243719;4523,882809;4222,566162;4243,706193
Netherlands Antilles;CO2;14515,98622;14516,00236;14114,16311;15608,87754;14124,21653;10196,95414;10849,34992;10983,39928;9272,0217;9182,640174;8677,960307;8042,240269;7296,016308;6829,047113;6690,916187;4499,409349;4297,286606;3965,516872;3459,554726;2956,915557;2666,593657;2766,066824;2883,642253;2367,188613;2665,281294;2671,800898;2700,445971;5299,732667;5479,973409;5445,818929;5667,740448;5656,572177;5417,269491;5433,503386;5636,539703;5913,155447;5781,55649;6260,309669;6199,352692;5878,801342;4288,313098;5523,619714;5607,056934;5138,84335;5669,078316;5741,944054;4973,774923;4012,867779;3236,462779;2511,353195;2102,787212;2240,094257;2314,213388;2308,26944;2394,239111
United Arab Emirates;CO2;19464,78161;25429,81242;27747,3592;35843,60207;36010,68365;36679,44373;45580,99402;45876,4465;52611,38915;37879,50522;41138,48048;38055,48425;38065,03248;36792,7764;49981,2212;51811,51718;50234,06905;52068,0484;50989,23744;56936,02545;56887,56715;64722,21568;62522,40874;65914,12081;72568,52896;77402,54297;80890,82962;84301,60977;86478,13447;89152,44885;88456,92969;101259,3097;103518,3974;108819,5561;115019,6636;122461,2807;127197,2137;137144,0913;164251,8856;165336,8724;171952,9199;177257,2344;185010,2928;195053,3584;198113,7809;206851,8753;212430,5412;204422,709;187285,348;197849,3602;195674,2357;199420,9918;195184,0095;192696,4436;200558,9701
Argentina;CO2;87619,92184;87941,60837;89766,25873;92851,39443;93331,23871;90967,88394;95639,15488;99570,84208;98631,04349;104319,8851;101877,9125;98848,63314;98058,82783;101491,3805;100887,7698;94262,61728;101690,6101;107301,8594;111086,7191;107784,3117;100195,7647;105601,7504;107526,5132;111287,4217;114693,3239;116284,134;126591,9596;130950,2802;138030,0618;139930,9881;136756,0624;131326,5559;124015,0759;135195,3515;149666,2605;153628,9184;162561,325;173086,1831;179224,1202;164820,4132;177316,2409;184834,1876;188836,5165;193178,9956;190026,4157;196193,7811;194140,4033;191373,6462;189817,1476;183268,7155;168115,4334;185675,9563;195041,0558;189890,7866;183271,9914
Armenia;CO2;10091,3873;10107,38105;10820,59492;11760,08083;12673,56896;13834,01123;14223,33303;14758,65389;15362,20438;15942,13493;17007,01541;17419,28266;17958,79219;18012,77519;18149,63921;18233,40746;18423,71246;18621,36746;18526,46185;18107,35824;20780,13271;21598,14409;10976,57567;5115,280274;2808,347505;3541,232607;2594,100183;3338,440462;3472,660999;3104,269421;3569,68919;3633,40551;3101,433832;3470,786918;3759,244586;4462,722173;4445,719165;5154,292756;5648,487621;4502,031886;4299,134306;4904,096768;5669,60146;5492,854134;5760,742289;5617,186377;5374,872199;5689,186838;5951,554106;6424,655981;6914,527858;7463,430313;7774,18889;7498,70342;7493,590365
